"","SYMBOL","ENTREZID"
"1006","FANCD2","2177"
"1007","LINC01505","100996590"
"1008","SLC25A6P5","100129319"
"1009","KCNN3","3782"
"1010","FHOD3","80206"
"1011","PDE1A","5136"
"1012","SLC4A1AP","22950"
"1013","RPL17P31","100271156"
"1014","ARFGEF1-DT","102724708"
"1015","MROH1","727957"
"1016","SEC24B-AS1","100533182"
"1017","RNU7-188P","106480832"
"1018","SEM1","7979"
"1019","CDHR3","222256"
"1020","SYPL1","6856"
"1021","HMGA2","8091"
"1022","HMGA2-AS1","100129940"
"1023","SLC14A2","8170"
"1024","PCSK6","5046"
"1025","ZNF90","7643"
"1026","BNIP3P13","101060192"
"1027","LINC03015","102723672"
"1028","FAM157D","125775238"
"1029","SORD","6652"
"1030","CHID1","66005"
"1031","NACAP6","100132778"
"1032","LINC02150","101929505"
"1033","TFR2","7036"
"1034","CSNK2A1","1457"
"1035","TCF15","6939"
"1036","USP50","373509"
"1037","RN7SKP102","106481810"
"1038","CNTNAP5-DT","107985820"
"1039","PCDHA1","56147"
"1040","PCDHA4","56144"
"1041","PCDHA2","56146"
"1042","PCDHA3","56145"
"1043","INTS9","55756"
"1044","JPH3","57338"
"1045","LINC01793","101927285"
"1046","LINC01122","400955"
"1047","FBXO40","51725"
"1048","BMP1","649"
"1049","RN7SL193P","106480493"
"1050","RN7SL691P","106481112"
"1051","DLG2","1740"
"1052","NHLH1","4807"
"1053","RNU4-42P","106479577"
"1054","CPA6","57094"
"1055","PRRT1","80863"
"1056","FKBPL","63943"
"1057","DAPK2","23604"
"1058","NDUFAF7","55471"
"1059","TENM4","26011"
"1060","RBM20","282996"
"1061","PRANCR","101928062"
"1062","LRAT","9227"
"1063","KCNH5","27133"
"1064","RDX","5962"
"1065","ARHGAP16P","319102"
"1066","LINC02307","105370471"
"1067","TBXAS1","6916"
"1068","NAALADL2","254827"
"1069","MICALL2","79778"
"1070","H3P28","115482699"
"1071","ARID1B","57492"
"1072","LINC02552","102723895"
"1073","CASP12","100506742"
"1074","STC1","6781"
"1075","NKX2-6","137814"
"1076","CDON","50937"
"1077","PPIAP17","170540"
"1078","MACROD2","140733"
"1079","TAFA5","25817"
"1080","GRIN2B","2904"
"1081","PTPRN2","5799"
"1082","DAPL1","92196"
"1083","H3C12","8356"
"1084","LINC02613","101929596"
"1085","HNRNPLL","92906"
"1086","UBR5","51366"
"1087","ABCG8","64241"
"1088","LINC02421","101927901"
"1089","LINC01479","101927922"
"1090","ANKRD22","118932"
"1091","STXBP6","29091"
"1092","MIR7702","102465800"
"1093","RNY4P18","100379298"
"1094","ERBB4","2066"
"1095","SEC24B","10427"
"1096","EXO1","9156"
"1097","THSD7A","221981"
"1098","RPS27P10","646233"
"1099","CPS1","1373"
"1100","RASSF8","11228"
"1101","AKR7A3","22977"
"1102","USP8","9101"
"1103","DLC1","10395"
"1104","RAPGEF5","9771"
"1105","CDCA7L","55536"
"1106","CDH7","1005"
"1107","PRPF19P1","100422496"
"1108","MYRIP","25924"
"1109","NFU1P1","100132681"
"1110","AQP4-AS1","147429"
"1111","LINC02246",NA
"1112","NRIP1","8204"
"1113","TUSC1","286319"
"1114","RN7SKP120","106480870"
"1115","SNRPGP16","106480270"
"1116","EEF1A1P49","642791"
"1117","LINC02664","101929352"
"1118","ZNF438","220929"
"1119","RPL12P42","100129394"
"1120","CACNA1A","773"
"1121","DVL2","1856"
"1122","CASC18","101929110"
"1123","CTNNBL1","56259"
"1124","RBMX2P4","100862677"
"1125","ETV1","2115"
"1126","RNU6-1120P","106480059"
"1127","LINC02015","102724550"
"1128","CDX2","1045"
"1129","LINC00543","100132234"
"1130","CEP63","80254"
"1131","PSTPIP1","9051"
"1132","CHRM3","1131"
"1133","LINC01684","105372751"
"1134","CDH4","1002"
"1135","RPSAP24","391462"
"1136","LINC01960","100128905"
"1137","LINC00290","728081"
"1138","LINC02500","101928679"
"1139","RPL15P15","100128347"
"1140","LINC02151","109729162"
"1141","GGTA2P","121328"
"1142","RAB11AP2","106480447"
"1143","KRTCAP2","200185"
"1144","HMGN2P18","648822"
"1145","IRAK1BP1","134728"
"1146","MAP4K4","9448"
"1147","ITGA11","22801"
"1148","CORO2B","10391"
"1149","RNU6-546P","106479809"
"1150","LINC01876","101929378"
"1151","RNF6","6049"
"1152","ATP8A2P3","100874518"
"1153","OSER1-DT","100505783"
"1154","GDAP1L1","78997"
"1155","DNAH6","1768"
"1156","MIR924HG","647946"
"1157","CCDC112","153733"
"1158","CTNNA1P1","1498"
"1159","ADAM3A","1587"
"1160","ADAM18","8749"
"1161","TFEB","7942"
"1162","BICRA","29998"
"1163","RN7SKP182","106479177"
"1164","RPL12P40","646898"
"1165","MGME1","92667"
"1166","OVOL2","58495"
"1167","EIF4EP2","100131693"
"1168","LINC02075","101927207"
"1169","SELENOO","83642"
"1170","ICOS","29851"
"1171","DSTNP5","100132132"
"1172","MAMSTR","284358"
"1173","MDGA2","161357"
"1174","MIR548Y","100500919"
"1175","DIRAS2","54769"
"1176","OR7E109P","401540"
"1177","BAALC","79870"
"1178","BAALC-AS1","100499183"
"1179","HMGN1P11","644534"
"1180","RPL21P47","100271164"
"1181","B4GALNT2","124872"
"1182","B4GALNT2P1","106481717"
"1183","ACTR3C","653857"
"1184","ATP6V0E2","155066"
"1185","CBLN2","147381"
"1186","LINC01899","102724913"
"1187","MACIR","90355"
"1188","SELP","6403"
"1189","POLN","353497"
"1190","PPP1R3B-DT","102724880"
"1191","SREBF1","6720"
"1192","KLHL36","79786"
"1193","USP10","9100"
"1194","RPL3P8","646620"
"1195","IMMP2L","83943"
"1196","RASSF5","83593"
"1197","PCNX1","22990"
"1198","GPR180","160897"
"1199","SMIM15P2","117751734"
"1200","PGBD1","84547"
"1201","MRPL45","84311"
"1202","NPEPPSP1","440434"
"1203","OFCC1","266553"
"1204","CFAP74","85452"
"1205","TRPC6P8","123464512"
"1206","ZP3P2","100421642"
"1207","KSR2","283455"
"1208","PEX6","5190"
"1209","ZDHHC11B","653082"
"1210","ETS1","2113"
"1211","LINC02098","105369564"
"1212","RHPN2","85415"
"1213","RPS18P12","388339"
"1214","HS3ST3B1","9953"
"1215","KLHDC1","122773"
"1216","NEK10","152110"
"1217","TSEN15P3","105375192"
"1218","LINC03007","646588"
"1219","TAS2R5","54429"
"1220","TMEM186","25880"
"1221","ABAT","18"
"1222","TMCO4","255104"
"1223","LINC02775","105372911"
"1224","SMYD2","56950"
"1225","GRK5","2869"
"1226","LINC00899","100271722"
"1227","WNT7B","7477"
"1228","SUDS3","64426"
"1229","LINC02460","105370013"
"1230","ERG","2078"
"1231","MLLT3","4300"
"1232","SLC24A2","25769"
"1233","CAPZA3","93661"
"1234","RPL7P6","90193"
"1235","ERO1A","30001"
"1236","PSMC6","5706"
"1237","SHANK2","22941"
"1238","RNU4-69P","106479590"
"1239","RPL23AP44","391825"
"1240","LINC00524","338002"
"1241","LINC02388","101927653"
"1242","LRIG3","121227"
"1243","CTNND2","1501"
"1244","RNU6-679P","106479866"
"1245","MED13","9969"
"1246","LINC02923","105374323"
"1247","RN7SKP27","106480841"
"1248","CCKBR","887"
"1249","MEI4","101928601"
"1250","SIPA1L1-AS1","102724015"
"1251","AKAP6","9472"
"1252","SYNGAP1","8831"
"1253","IQGAP2","10788"
"1254","LRRC4C","57689"
"1255","PPP5D1P","100506012"
"1256","LINC01866","107985806"
"1257","CYRIA","81553"
"1258","NRXN3","9369"
"1259","CPSF6","11052"
"1260","CPM","1368"
"1261","AOX1","316"
"1262","PTPRO","5800"
"1263","IL21-AS1","100996941"
"1264","ACE3P","100129123"
"1265","RBMS3","27303"
"1266","LINC01163","101927381"
"1267","LINC02667","728327"
"1268","GTF2H3","2967"
"1269","RN7SKP168","106479170"
"1270","ZFYVE9P2","100420972"
"1271","DNAH12","201625"
"1272","CHST15","51363"
"1273","GRM3","2913"
"1274","LINC01428","101929265"
"1275","BMP2","650"
"1276","FAT3","120114"
"1277","IRF6","3664"
"1278","LINC01362","103283057"
"1279","ADGRL2","23266"
"1280","KIFC3","3801"
"1281","CNGB1","1258"
"1282","RAD23BP2","100130572"
"1283","SEMA3A","10371"
"1284","SLC7A9","11136"
"1285","HAS2-AS1","594842"
"1286","OR7E39P","253933"
"1287","CCZ1B","221960"
"1288","C9orf152","401546"
"1289","TXN","7295"
"1290","STK31","56164"
"1291","RNA5SP228","100873486"
"1292","SERINC5","256987"
"1293","KRT18P45","391803"
"1294","RNU6-1213P","106481563"
"1295","BSG","682"
"1296","FKBP8","23770"
"1297","KCTD15","79047"
"1298","SUNO1","119863868"
"1299","PRKAR2B","5577"
"1300","PIK3CG","5294"
