"","SYMBOL","ENTREZID"
"233","SYNPR","132204"
"234","SYNPR-AS1","100874016"
"235","CTSB","1508"
"236","LINC02254","101927286"
"237","REL-DT","400957"
"238","MIOS-DT","101927391"
"239","CHRNA2","1135"
"240","RBM23","55147"
"241","EFL1","79631"
"242","GDI2P1","2667"
"243","LINC02838","105375273"
"244","RPLP0P5","643779"
"245","RPL7AP81","122965333"
"246","DENND3","22898"
"247","LINC02699","105376596"
"248","ANO3","63982"
"249","SYNJ1","8867"
"250","PLEKHA1","59338"
"251","SLC2A4RG","56731"
"252","MRC1","4360"
"253","GLIS3","169792"
"254","MIR378C","100422867"
"255","Y_RNA",NA
"256","TREML2","79865"
"257","TBC1D9","23158"
"258","RN7SL152P","106480962"
"259","DENND4A","10260"
"260","CTSH","1512"
"261","LINC02325","101929241"
"262","PHB1","5245"
"263","ZNF652-AS1","102724596"
"264","ARIH2","10425"
"265","RN7SL167P","106480966"
"266","SNX19","399979"
"267","LINC01957","101927059"
"268","TRIM36","55521"
"269","TSBP1-AS1","101929163"
"270","MTMR2","8898"
"271","CSTP2","1481"
"272","CST1","1469"
"273","CR1L","1379"
"274","STK24","8428"
"275","FARP1","10160"
"276","OSTN","344901"
"277","GMNC","647309"
"278","SIGLEC11","114132"
"279","PDE4B","5142"
"280","SCARB2","950"
"281","FAM47E","100129583"
"282","HLA-DRB5","3127"
"283","DAB1","1600"
"284","CD33","945"
"285","SIGLEC22P","114195"
"286","ARL17B","100506084"
"287","RPS29P6","100270903"
"288","RNA5SP43","100873282"
"289","ARPC3P2","391160"
"290","LINC00467","84791"
"291","PFDN1","5201"
"292","HBEGF","1839"
"293","SNORA70","26778"
"294","RN7SL734P","106479490"
"295","MAPT","4137"
"296","ICA1","3382"
"297","LINC01117","102724224"
"298","NKAIN3","286183"
"299","SDR42E2","100288072"
"300","SORT1","6272"
"301","KIR3DL2","3812"
"302","TRAPPC6A","79090"
"303","RPL6P17","100131229"
"304","RNU6-793P","106479917"
"305","TNIP1","10318"
"306","KLC3","147700"
"307","RNU7-149P","106479080"
"308","NDUFS5P4","100287817"
"309","JAZF1","221895"
"310","DPP4","1803"
"311","LINC02326","105370425"
"312","RNU11-5P","106479563"
"313","APOC4-APOC2","100533990"
"314","ZNF232","7775"
"315","ZNF232-AS1","101928000"
"316","PLPPR5-AS1","100129620"
"317","LINC00917","732275"
"318","FENDRR","400550"
"319","HESX1","8820"
"320","IL17RD","54756"
"321","PHF14","9678"
"322","GEMIN7","79760"
"323","SPPL2A","84888"
"324","RN7SL354P","106481838"
"325","AGAP1","116987"
"326","WDR12","55759"
"327","ATXN2L","11273"
"328","CELF1","10658"
"329","CST8","10047"
"330","CST13P","164380"
"331","TMEM132C","92293"
"332","NPC1","4864"
"333","SNRPCP13","106481786"
"334","ENPP7P11","100421806"
"335","KDM1B","221656"
"336","DCC","1630"
"337","SCARA3","51435"
"338","TMEM161B-DT","100505894"
"339","NFIB","4781"
"340","LINC02360","105374484"
"341","HS3ST1","9957"
"342","ROBO1","6091"
"343","ITSN2","50618"
"344","MDM4","4194"
"345","PIK3C2B","5287"
"346","IGHG3","3502"
"347","IGHG1","3500"
"348","NFIC","4782"
"349","IQCK","124152"
"350","HNRNPA1P46","100421399"
"351","LINC01720","440704"
"352","ZFTRAF1","50626"
"353","TPM3P3","106478937"
"354","LINC01419","103352670"
"355","CCNT2-AS1","100129961"
"356","ACMSD","130013"
"357","DEDD","9191"
"358","UFC1","51506"
"359","RN7SL825P","107080654"
"360","RPL34P19","100271494"
"361","FAR2","55711"
"362","CCDC91","55297"
"363","PTN","5764"
"364","DGKI","9162"
"365","MIR8074","102465873"
"366","RBCK1","10616"
"367","PLEC","5339"
"368","STAG3","10734"
"369","MAF","4094"
"370","RNA5SP431","100873681"
"371","SEMA3F-AS1","100129060"
"372","ARSA","410"
"373","ALPK2","115701"
"374","PMS2CL","441194"
"375","SPDYE20P","101060280"
"376","RN7SL7P","6033"
"377","SAMD9","54809"
"378","LINC01326","106144540"
"379","SSBL6P","127482546"
"380","SPRED2","200734"
"381","KANSL1","284058"
"382","CADM2","253559"
"383","RNU6-261P","106481885"
"384","RNU6-248P","106481256"
"385","ADAM17","6868"
"386","YWHAQ","10971"
"387","PFKFB4","5210"
"388","JCAD","57608"
"389","SVIL","6840"
"390","LARS1","51520"
"391","KCNH1","3756"
"392","NCR2","9436"
"393","FOXP4-AS1","101060264"
"394","IPPKP1","100874419"
"395","SNORD27","9301"
"396","ROBO2P1","106480790"
"397","CICP17","642663"
"398","PPP1R13L","10848"
"399","ERCC2","2068"
"400","CHST10","9486"
"401","SETD7","80854"
"402","QKILA","101927490"
"403","LINC00470","56651"
"404","AIDAP3","100128360"
"405","ADCYAP1R1","117"
"406","NEUROD6","63974"
"407","TENM2","57451"
"408","TTLL11","158135"
"409","NPAS2","4862"
"410","LINC01868","107985924"
"411","NTF3","4908"
"412","SDK1","221935"
"413","RPL32P25","100271490"
"414","TUSC2","11334"
"415","HYAL2","8692"
"416","Metazoa_SRP",NA
"417","EDAR","10913"
"418","GLCCI1","113263"
"419","STAU1","6780"
"420","CKM","1158"
"421","RPS16P9","645412"
"422","EXOC4","60412"
"423","KAT8","84148"
"424","NRXN1","9378"
"425","PTPRG","5793"
"426","CRYGGP","1424"
"427","CCDC12P1","100131852"
"428","FBXL7","23194"
"429","POLR1G","10849"
"430","ERCC1","2067"
"431","SLC10A2","6555"
"432","METTL21EP","121952"
"433","DISC1FP1","101929222"
"434","NXN","64359"
"435","CEP57","9702"
"436","MYO1C","4641"
"437","SEZ6L2","26470"
"438","CDIPTOSP","440356"
"439","RNU6-478P","106479778"
"440","MARK2P15","100533794"
"441","DSG2","1829"
"442","OSBPL6","114880"
"443","TNFSF13","8741"
"444","TNFSF12-TNFSF13","407977"
"445","RNU6-543P","106479807"
"446","EGR2","1959"
"447","F13A1","2162"
"448","MEIOSIN","388553"
"449","JMJD1C","221037"
"450","BCAR3","8412"
"451","ZNF652","22834"
"452","COX10-DT","100874058"
"453","AP2A2","161"
"454","PLK2","10769"
"455","PGAM1P1","100130514"
"456","SNX9","51429"
"457","PA2G4","5036"
"458","ERBB3","2065"
"459","MSRA","4482"
"460","COL12A1","1303"
"461","HIGD1AP3","100859920"
"462","SUMO2P6","100127922"
"463","CCDC89","220388"
"464","APP-DT","118568803"
"465","CYYR1-AS1","100996571"
"466","SMILR","105375734"
"467","LINC01151","104266958"
"468","LRRC2P1","644158"
"469","PNPLA7","375775"
"470","NFE2L3P1","642996"
"471","PMAIP1","5366"
"472","DOCK4","9732"
"473","TGFB2","7042"
"474","AHNAK","79026"
"475","SLC52A1","55065"
"476","ZFP3-DT","119139902"
"477","LAMP1","3916"
"478","PPP1R21-DT","118568827"
"479","FOXN2","3344"
"480","HNRNPKP3","399881"
"481","FLJ40194","124871"
"482","LINC02763","101928823"
"483","LINC02762","283140"
"484","CDC5L","988"
"485","SUPT3H","8464"
"486","LINC02103","105374698"
"487","RNU6-909P","106481466"
"488","CCDC162P","221262"
"489","DYNLRB2-AS1","102724084"
"490","F2R","2149"
"491","F2RL1","2150"
"492","H4C8","8365"
"493","H3C9P","100289545"
"494","LINC01471","101927149"
"495","LINC02016","101927123"
"496","BACE2","25825"
"497","LINC01671","101928233"
"498","PDE9A","5152"
"499","TRPM1","4308"
"500","NFIX","4784"
"501","HERC2","8924"
"502","LINC01965","107985928"
"503","MIR4268","100422959"
"504","EPHA4","2043"
"505","LINC00343","144920"
"506","LRP1B","53353"
"507","GLRXP1","170522"
"508","LINC00489","100861522"
"509","FAM181A-AS1","283592"
"510","FAM181A","90050"
"511","BORCS7-ASMT","100528007"
"512","AS3MT","57412"
"513","IQUB","154865"
